City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kindu,CD,2022-04-06 16:23:27,-2.95,25.95,76.8,85,94,0.54
68,Riyadh,SA,2022-04-06 16:21:34,24.6877,46.7219,87.94,8,3,9.86
69,Tortoli,IT,2022-04-06 16:23:28,39.9256,9.6572,53.42,87,75,8.05
70,Tuktoyaktuk,CA,2022-04-06 16:23:28,69.4541,-133.0374,-2.2,78,75,13.8
71,Sitka,US,2022-04-06 16:23:28,57.0531,-135.33,42.69,61,20,16.11
72,Faanui,PF,2022-04-06 16:23:29,-16.4833,-151.75,82.09,77,41,20.8
73,Whitianga,NZ,2022-04-06 16:23:29,-36.8333,175.7,62.04,73,97,11.95
74,Huilong,CN,2022-04-06 16:23:29,31.8111,121.655,55.92,87,64,6.6
75,Mineiros,BR,2022-04-06 16:21:35,-17.5694,-52.5511,84.06,53,0,8.34
76,Boende,CD,2022-04-06 16:23:30,-0.2167,20.8667,79.29,75,98,2.8
77,Rjukan,NO,2022-04-06 16:23:30,59.8789,8.5941,37.56,58,100,5.79
78,Jaru,BR,2022-04-06 16:23:30,-10.4389,-62.4664,83.34,82,85,2.37
79,Saldanha,ZA,2022-04-06 16:23:31,-33.0117,17.9442,60.78,56,86,15.7
80,Ciudad Real,ES,2022-04-06 16:23:31,39.0,-4.0,60.15,55,11,5.99
81,Severo-Yeniseyskiy,RU,2022-04-06 16:21:20,60.3725,93.0408,34.23,97,100,11.52
82,Tilichiki,RU,2022-04-06 16:23:32,60.4667,166.1,-2.94,80,0,8.32
83,Bambous Virieux,MU,2022-04-06 16:23:32,-20.3428,57.7575,79.21,83,40,11.5
84,Ust-Karsk,RU,2022-04-06 16:23:33,52.7011,118.8077,18.93,58,53,2.19
85,Nikolskoye,RU,2022-04-06 16:23:34,59.7035,30.7861,31.91,79,52,4.63
86,Gongzhuling,CN,2022-04-06 16:23:34,43.5008,124.8198,36.03,27,82,8.9
87,Barth,DE,2022-04-06 16:23:35,54.3635,12.7249,51.1,60,100,21.94
88,Caravelas,BR,2022-04-06 16:23:35,-17.7125,-39.2481,87.22,56,49,9.24
89,Souillac,MU,2022-04-06 16:23:35,-20.5167,57.5167,77.38,83,40,11.5
90,Acarau,BR,2022-04-06 16:23:37,-2.8856,-40.12,83.01,72,75,8.57
