,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Sabzevar,IR,36.2126,57.6819,58.28,29,0,11.5,clear sky
348,Betare Oya,CM,5.6,14.0833,71.19,75,100,1.54,overcast clouds
349,Coahuayana,MX,18.7333,-103.6833,68.81,90,100,2.91,overcast clouds
350,Antofagasta,CL,-23.65,-70.4,61.88,87,37,2.24,scattered clouds
351,Belluno,IT,46.145,12.2214,48.2,88,96,0.51,overcast clouds
352,Cap Malheureux,MU,-19.9842,57.6142,77.47,80,61,3.0,broken clouds
353,North Bend,US,43.4065,-124.2243,53.92,89,0,5.75,clear sky
354,Bugiri,UG,0.5714,33.7417,65.77,77,90,3.6,overcast clouds
355,Kushiro,JP,42.975,144.3747,43.75,42,75,17.27,broken clouds
356,Tura,IN,25.5198,90.2201,82.51,59,46,2.68,scattered clouds
357,Sampit,ID,-2.5333,112.95,86.16,64,81,3.62,broken clouds
358,Kruisfontein,ZA,-34.0033,24.7314,54.88,77,63,16.44,light rain
359,Cetraro,IT,39.5166,15.9416,56.25,97,100,11.56,overcast clouds
360,Malangali,TZ,-8.5667,34.85,59.94,96,21,5.37,few clouds
361,Bardiyah,LY,31.7561,25.0865,75.2,25,79,18.81,broken clouds
362,Awjilah,LY,29.1081,21.2869,85.06,9,14,15.35,few clouds
363,Villa Rica,US,33.7321,-84.9191,65.82,97,88,9.24,overcast clouds
364,Pital,CO,2.2665,-75.8044,66.58,82,45,5.19,scattered clouds
365,Agirish,RU,61.9247,63.0231,29.89,88,54,5.12,broken clouds
366,Taksimo,RU,56.3444,114.8794,19.45,83,100,2.73,light snow
367,The Valley,AI,18.217,-63.0578,78.66,75,0,18.99,clear sky
368,Russell,US,32.3502,-85.1999,74.48,97,0,6.91,clear sky
369,Moose Factory,CA,51.2585,-80.6094,30.2,55,100,21.85,overcast clouds
370,Ovre Ardal,NO,61.3167,7.8,10.67,84,100,6.87,overcast clouds
371,Codajas,BR,-3.8367,-62.0569,73.42,98,99,2.46,overcast clouds
372,Alihe,CN,50.5667,123.7167,36.91,25,5,11.45,clear sky
373,Harper,LR,4.375,-7.7169,78.8,86,80,3.49,light rain
374,Arman,RU,59.7,150.1667,31.86,75,100,17.25,light snow
375,Champerico,GT,14.3,-91.9167,82.71,73,40,10.18,scattered clouds
376,Gombong,ID,-7.6072,109.5142,86.2,63,83,5.73,broken clouds
377,Puerto Escondido,MX,15.85,-97.0667,77.83,73,0,0.0,clear sky
378,Sydney,AU,-33.8679,151.2073,65.64,94,100,21.0,moderate rain
379,Santa Maria,BR,-29.6842,-53.8069,65.5,100,0,4.61,light rain
380,Kavaratti,IN,10.5669,72.642,83.3,70,35,7.38,scattered clouds
381,Laizhou,CN,37.1717,119.9214,58.8,39,0,8.19,clear sky
382,Turukhansk,RU,65.8167,87.9833,23.0,90,100,11.59,light snow
383,Sokoni,TZ,-6.4333,39.55,76.86,67,49,4.59,scattered clouds
384,Verkhoyansk,RU,67.5447,133.385,10.36,73,98,1.63,overcast clouds
385,Alice Springs,AU,-23.7,133.8833,81.95,23,0,11.5,clear sky
386,Burgersdorp,ZA,-30.9977,26.3286,43.36,66,5,4.03,clear sky
387,Grand Gaube,MU,-20.0064,57.6608,77.4,80,65,3.0,broken clouds
388,Vernon,CA,50.2581,-119.2691,46.24,54,100,3.44,overcast clouds
389,Bud,US,39.447,-86.1758,51.78,76,28,7.58,scattered clouds
390,Rio De Jesus,PA,7.9844,-81.1631,80.04,81,61,2.46,broken clouds
391,Ballina,AU,-28.8667,153.5667,78.76,61,40,13.8,scattered clouds
392,Khajuraho,IN,24.85,79.9333,84.29,37,90,0.0,haze
393,Longyearbyen,SJ,78.2186,15.6401,12.04,62,0,9.22,clear sky
394,Sambava,MG,-14.2667,50.1667,76.06,87,92,5.73,overcast clouds
395,Goya,AR,-29.14,-59.2626,70.66,98,95,5.17,overcast clouds
396,Kargopol,RU,61.5071,38.9456,20.93,96,84,2.77,broken clouds
397,Uturoa,PF,-16.7333,-151.4333,82.56,76,42,22.77,light rain
398,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,75,100,11.5,overcast clouds
399,Bengkulu,ID,-3.8004,102.2655,77.31,84,100,12.3,overcast clouds
400,Iqaluit,CA,63.7506,-68.5145,-0.31,77,20,11.5,few clouds
401,Shenkursk,RU,62.1091,42.896,23.41,85,49,2.1,scattered clouds
402,Bagotville,AU,-28.9833,153.4167,78.62,69,15,10.87,few clouds
403,Beringovskiy,RU,63.05,179.3167,4.5,73,16,2.75,few clouds
404,Krasnoselkup,RU,65.7,82.4667,20.08,85,100,0.76,overcast clouds
405,Andilamena,MG,-17.0167,48.5833,66.69,86,98,4.79,overcast clouds
406,Chapais,CA,49.7834,-74.8492,28.18,84,96,8.93,overcast clouds
407,Maniitsoq,GL,65.4167,-52.9,20.19,90,100,14.88,overcast clouds
408,Pochutla,MX,15.7432,-96.4661,76.82,79,33,4.07,scattered clouds
409,Gravdal,NO,68.1214,13.5031,30.09,59,20,4.61,few clouds
410,Khromtau,KZ,50.2503,58.4347,40.78,84,100,6.93,overcast clouds
411,Nioro,GM,13.35,-15.75,79.23,28,97,10.2,overcast clouds
412,Tanout,NE,14.9709,8.8879,78.55,8,5,10.65,clear sky
413,Imeni Babushkina,RU,59.7573,43.1285,22.91,90,70,8.79,broken clouds
414,Bosaso,SO,11.2842,49.1816,79.18,59,0,8.68,clear sky
415,Susurluk,TR,39.9136,28.1578,47.84,73,50,5.32,scattered clouds
416,Maceio,BR,-9.6658,-35.7353,72.84,88,0,4.61,clear sky
417,Chifeng,CN,42.2683,118.9636,59.74,28,29,8.46,scattered clouds
418,Te Anau,NZ,-45.4167,167.7167,53.94,53,14,0.58,few clouds
419,Santarem,BR,-2.4431,-54.7083,77.13,100,40,3.44,scattered clouds
420,Mansoa,GW,12.0733,-15.3189,75.09,57,100,5.41,overcast clouds
421,Oktyabrskiy,RU,54.4815,53.471,33.98,88,100,4.52,overcast clouds
422,Atar,MR,20.5169,-13.0499,69.69,17,2,13.29,clear sky
423,Uhlove,UA,44.8215,33.6045,45.73,64,3,3.94,clear sky
424,Smithers,CA,54.7804,-127.1743,32.32,100,100,3.44,light snow
425,Puerto Narino,CO,-3.7703,-70.3831,73.02,97,66,2.04,broken clouds
426,Maribo,DK,54.7766,11.5002,44.94,92,100,24.4,overcast clouds
427,Kaiu,EE,59.0129,25.0551,30.76,97,100,8.84,light snow
428,Adelaide,AU,-34.9333,138.6,78.04,48,20,17.27,few clouds
429,Sarny,UA,51.338,26.6019,46.24,86,100,9.51,overcast clouds
430,Kissidougou,GN,9.1848,-10.0999,72.28,92,100,3.24,overcast clouds
431,Redmond,US,47.674,-122.1215,55.51,65,100,2.8,overcast clouds
432,Torbay,CA,47.6666,-52.7314,35.58,94,100,20.71,overcast clouds
433,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,82,75,28.16,broken clouds
434,Galveston,US,29.3669,-94.9669,71.94,41,0,8.99,clear sky
435,Lompoc,US,34.6391,-120.4579,75.78,47,0,6.91,clear sky
436,Ambalavao,MG,-21.8333,46.9333,64.13,92,7,2.71,clear sky
437,Reconquista,AR,-29.15,-59.65,70.86,97,100,3.6,light rain
438,Bitung,ID,1.4451,125.1824,90.45,73,76,5.95,broken clouds
439,Acara,BR,-1.9608,-48.1967,72.7,100,100,0.89,overcast clouds
440,Dingle,PH,10.9995,122.6711,80.6,80,100,10.89,overcast clouds
441,Port Lincoln,AU,-34.7333,135.8667,64.96,59,5,12.68,clear sky
442,Kahului,US,20.8947,-156.47,78.82,65,40,17.27,scattered clouds
443,Itigi,TZ,-5.7,34.4833,60.31,94,97,4.94,overcast clouds
444,Cockburn Town,TC,21.4612,-71.1419,78.35,78,1,21.14,clear sky
445,Souillac,MU,-20.5167,57.5167,77.38,78,40,8.05,scattered clouds
446,Kabompo,ZM,-13.5927,24.2008,62.56,98,100,3.98,overcast clouds
447,Paita,PE,-5.0892,-81.1144,71.1,80,61,15.86,broken clouds
448,Snasa,NO,64.2457,12.3778,17.26,98,88,3.87,overcast clouds
449,Panama City,PA,8.9936,-79.5197,81.14,80,20,6.91,few clouds
450,Atagay,RU,55.1033,99.3875,45.28,77,100,13.82,overcast clouds
451,Tra Vinh,VN,9.9347,106.3453,86.65,62,100,2.37,overcast clouds
452,Emba,KZ,48.8264,58.1442,43.66,68,100,6.53,overcast clouds
453,Pascagoula,US,30.3658,-88.5561,77.05,94,100,5.75,overcast clouds
454,Skerries,IE,53.5828,-6.1083,44.51,77,98,33.04,overcast clouds
455,Westport,US,41.1415,-73.3579,48.79,93,100,5.99,overcast clouds
456,Magway,MM,20.15,94.9167,95.76,32,50,5.14,scattered clouds
457,Boyolangu,ID,-8.1181,111.8935,83.55,72,82,7.85,broken clouds
458,Dudinka,RU,69.4058,86.1778,24.62,93,89,4.09,overcast clouds
459,Dicabisagan,PH,17.0818,122.4157,78.98,86,97,8.1,light rain
460,Ancud,CL,-41.8697,-73.8203,57.22,97,100,7.29,overcast clouds
461,Pacific Grove,US,36.6177,-121.9166,69.46,59,0,1.01,clear sky
462,Khor,RU,47.8861,134.9464,37.51,32,89,17.13,overcast clouds
463,Arlit,NE,18.7369,7.3853,81.45,8,86,5.3,overcast clouds
464,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,6.91,overcast clouds
465,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.95,67,2,2.33,clear sky
466,Joshimath,IN,30.5667,79.5667,71.01,21,0,4.72,clear sky
467,Manakara,MG,-22.1333,48.0167,74.01,92,10,2.55,clear sky
468,Sechura,PE,-5.5569,-80.8222,71.2,77,40,15.26,scattered clouds
469,Nishihara,JP,26.1842,127.7558,73.06,57,40,12.66,scattered clouds
470,Marawi,PH,7.9986,124.2928,73.36,92,97,3.33,overcast clouds
471,Assiniboia,CA,49.6334,-105.9845,33.62,86,100,9.22,overcast clouds
472,Galich,RU,58.3797,42.3475,23.85,90,19,6.55,few clouds
473,Gondanglegi,ID,-7.7479,112.0132,86.34,64,93,12.73,overcast clouds
474,Buchanan,LR,5.8808,-10.0467,76.06,90,100,6.17,overcast clouds
475,Grajewo,PL,53.6473,22.4554,43.56,91,100,10.02,overcast clouds
476,Tessalit,ML,20.1986,1.0114,79.03,17,2,12.33,clear sky
477,Singkawang,ID,0.9,109.0,85.17,68,89,4.97,overcast clouds
478,Bambanglipuro,ID,-7.95,110.2833,83.26,72,98,6.53,overcast clouds
479,Oktyabrskoye,RU,43.0645,44.7417,39.34,93,89,0.0,overcast clouds
480,Kirakira,SB,-10.4544,161.9205,82.81,78,100,12.37,overcast clouds
481,Kjollefjord,NO,70.9457,27.3465,33.85,80,75,14.97,broken clouds
482,Hoi An,VN,15.8794,108.335,80.56,76,46,8.81,scattered clouds
483,Tazmalt,DZ,36.3868,4.3989,47.64,91,62,4.34,broken clouds
484,Pervomaysk,UA,48.0443,30.8507,45.55,77,71,13.29,broken clouds
485,Skotterud,NO,59.9828,12.1283,29.41,65,100,3.15,overcast clouds
486,Tautira,PF,-17.7333,-149.15,82.06,77,69,21.14,light rain
487,Tazovskiy,RU,67.4667,78.7,11.79,95,74,6.42,broken clouds
488,Walvis Bay,NA,-22.9575,14.5053,56.08,94,88,3.44,overcast clouds
489,Eureka,US,40.8021,-124.1637,58.75,82,19,1.01,few clouds
490,Ushtobe,KZ,45.2514,77.9838,72.0,29,45,2.15,scattered clouds
491,Kozluk,TR,38.1938,41.4885,59.25,74,97,9.73,light rain
492,Auxerre,FR,47.8,3.5667,49.62,92,100,21.34,overcast clouds
493,Kloulklubed,PW,7.0419,134.2556,75.7,86,100,1.45,overcast clouds
494,Ola,RU,59.5833,151.2833,29.35,73,100,22.21,overcast clouds
495,Bireun,ID,5.203,96.7009,83.93,68,92,1.61,overcast clouds
496,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,100,100,4.47,light intensity shower rain
497,Datong,CN,40.0936,113.2914,64.85,19,18,12.3,few clouds
498,Deming,US,32.2687,-107.7586,73.29,9,0,5.75,clear sky
499,Kijang,KR,35.2442,129.2139,65.93,44,50,8.72,scattered clouds
500,Asau,RO,46.4333,26.4,38.32,74,21,2.42,few clouds
501,Dali,CN,25.7,100.1833,57.69,65,89,3.0,overcast clouds
502,Orikum,AL,40.3253,19.4714,57.47,83,55,15.9,broken clouds
503,Yambio,SS,4.5721,28.3955,66.63,94,76,4.61,broken clouds
504,Kodinsk,RU,58.6881,99.1844,36.95,93,100,10.09,overcast clouds
505,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,89,100,17.98,overcast clouds
506,Merauke,ID,-8.4667,140.3333,86.63,63,67,11.61,broken clouds
507,Benguela,AO,-12.5763,13.4055,74.08,90,87,1.39,light rain
508,Ukiah,US,39.1502,-123.2078,73.29,38,0,0.0,clear sky
509,Berlevag,NO,70.8578,29.0864,33.8,85,100,22.62,light snow
510,Jacareacanga,BR,-6.2222,-57.7528,73.02,98,69,1.72,broken clouds
511,Gerash,IR,27.6652,54.1371,59.14,16,0,1.19,clear sky
512,Kaduy,RU,59.2,37.15,23.11,94,100,4.27,overcast clouds
513,Egvekinot,RU,66.3167,-179.1667,-7.85,92,94,1.88,overcast clouds
514,Edd,ER,13.9297,41.6925,85.98,28,0,9.89,clear sky
515,Mecca,SA,21.4267,39.8261,82.45,17,30,0.4,scattered clouds
516,Doka,SD,13.5167,35.7667,83.28,43,0,8.75,clear sky
517,Hovd,MN,48.0056,91.6419,58.03,11,93,2.64,overcast clouds
518,Biga,TR,40.2281,27.2422,48.06,61,48,2.89,scattered clouds
519,Tulun,RU,54.5611,100.5792,42.93,86,100,15.73,light rain
520,Rio Cuarto,AR,-33.1307,-64.3499,67.48,84,0,8.99,clear sky
521,Yulara,AU,-25.2406,130.9889,82.24,28,0,11.5,clear sky
522,Tukrah,LY,32.5341,20.5791,68.74,48,88,4.74,overcast clouds
523,El Tigre,VE,8.8875,-64.2454,77.27,55,6,13.94,clear sky
524,Kalevala,RU,65.2,31.1667,13.33,96,85,4.47,overcast clouds
525,Gafanha Da Encarnacao,PT,40.6181,-8.733,56.77,84,92,5.03,overcast clouds
526,Ruwi,OM,23.5996,58.5507,76.69,42,0,4.59,clear sky
527,Belomorsk,RU,64.5232,34.7668,15.28,92,69,4.23,broken clouds
528,Grabovo,RU,53.3875,45.064,35.53,55,100,9.06,overcast clouds
529,Lovington,US,32.944,-103.3485,53.02,19,0,3.0,clear sky
530,Kilimatinde,TZ,-5.85,34.95,62.92,87,98,1.88,overcast clouds
531,Lahaina,US,20.8783,-156.6825,78.8,81,37,14.25,scattered clouds
532,Ayagoz,KZ,47.9714,80.4392,51.49,76,89,12.88,overcast clouds
533,Hammerfest,NO,70.6634,23.6821,32.45,80,75,21.85,broken clouds
534,Ocos,GT,14.5094,-92.1933,81.91,75,42,9.44,scattered clouds
535,Hamilton,US,39.1834,-84.5333,49.98,90,0,6.91,mist
536,Tual,ID,-5.6667,132.75,83.34,72,94,7.9,overcast clouds
537,Nemuro,JP,43.3236,145.575,36.5,70,59,11.74,broken clouds
538,Road Town,VG,18.4167,-64.6167,77.0,74,1,18.07,clear sky
539,Atocha,BO,-20.9333,-66.2333,49.62,67,44,3.44,scattered clouds
540,Phalia,PK,32.4297,73.5775,91.4,14,0,2.57,clear sky
541,Charters Towers,AU,-20.1,146.2667,89.6,36,3,7.05,clear sky
542,Broome,US,42.2506,-75.833,51.37,80,100,12.66,overcast clouds
543,Ilembo,TZ,-9.25,33.3833,54.93,89,59,1.83,broken clouds
544,Makat,KZ,47.6469,53.3463,50.76,69,46,10.51,scattered clouds
545,Kutum,SD,14.2,24.6667,73.02,15,5,9.82,clear sky
546,Coihaique,CL,-45.5752,-72.0662,40.95,93,100,4.61,light rain
547,Batagay,RU,67.6333,134.6333,12.15,77,100,1.07,overcast clouds
548,Ngerengere,TZ,-6.75,38.1167,72.39,96,31,1.68,scattered clouds
549,Mgandu,TZ,-5.95,34.1333,58.8,95,95,4.47,overcast clouds
550,Salamanca,ES,40.8333,-6.0,40.78,90,49,8.39,scattered clouds
551,Dunedin,NZ,-45.8742,170.5036,56.8,48,34,5.99,scattered clouds
552,Palu,ID,-0.8917,119.8707,90.07,51,74,5.75,broken clouds
553,Agadir,MA,30.4202,-9.5982,52.25,75,0,0.96,clear sky
554,Lata,PT,40.1629,-8.3327,54.81,76,100,3.74,overcast clouds
555,Abapo,BO,-18.8333,-63.4667,66.4,81,100,2.44,overcast clouds
556,Vrangel,RU,42.7297,133.0839,33.71,98,100,7.65,snow
557,San Cristobal,VE,7.7669,-72.225,71.78,96,31,2.89,scattered clouds
558,Fuyang,CN,32.9,115.8167,70.21,56,0,5.55,clear sky
559,Sucre,BO,-19.0333,-65.2627,54.48,77,98,5.03,overcast clouds
560,Warrington,GB,53.3925,-2.5802,45.86,83,75,34.52,broken clouds
561,Koryukivka,UA,51.7688,32.2481,43.02,89,99,9.4,overcast clouds
562,Piacabucu,BR,-10.4056,-36.4344,75.36,81,48,2.26,scattered clouds
563,Qingdao,CN,36.0986,120.3719,60.4,48,0,6.71,clear sky
564,Najran,SA,17.4924,44.1277,70.16,10,0,3.0,clear sky
565,Lake City,US,30.1897,-82.6393,75.85,87,96,10.51,overcast clouds
566,Ust-Omchug,RU,61.15,149.6333,20.14,76,100,6.33,overcast clouds
567,Lavrentiya,RU,65.5833,-171.0,-2.74,75,100,6.17,overcast clouds
568,Markova,UA,48.6758,24.4138,43.27,80,99,5.61,overcast clouds
569,Sola,VU,-13.8833,167.55,84.87,100,100,5.75,overcast clouds
570,Danville,US,36.586,-79.395,72.25,56,0,3.44,clear sky
571,Vila Velha,BR,-20.3297,-40.2925,78.75,83,75,5.75,broken clouds
572,Ambunti,PG,-4.2365,142.8448,89.19,57,99,4.5,overcast clouds
573,Zvenyhorodka,UA,49.0787,30.9675,46.83,71,98,13.31,overcast clouds
574,San Quintin,MX,30.4833,-115.95,65.1,72,0,6.15,clear sky
575,Zhigansk,RU,66.7697,123.3711,4.08,89,86,6.17,overcast clouds
576,Darhan,MN,49.4867,105.9228,63.21,25,6,10.29,clear sky
577,Tokur,RU,53.1333,132.9,16.63,78,100,7.02,light snow
578,Evensk,RU,61.95,159.2333,22.12,68,31,4.27,scattered clouds
579,Aksum,ET,14.1245,38.7244,63.21,28,0,13.49,clear sky
580,Niono,ML,14.2526,-5.993,84.27,15,57,11.79,broken clouds
581,Mangrol,IN,21.1167,70.1167,86.94,46,55,11.18,broken clouds
582,Linxia,CN,35.6003,103.2064,63.77,18,0,4.05,clear sky
583,Mangan,IN,27.5167,88.5333,71.08,89,95,2.15,overcast clouds
584,Abnub,EG,27.2696,31.1511,70.02,18,9,3.91,clear sky
585,Idenao,CM,4.2475,9.0047,78.39,82,96,1.28,overcast clouds
586,Saint-Leu,RE,-21.15,55.2833,77.86,75,50,5.86,scattered clouds
587,Port-Cartier,CA,50.0334,-66.8654,37.51,89,79,7.25,broken clouds
588,Mehamn,NO,71.0357,27.8492,33.75,80,75,14.97,broken clouds
589,Masuri,KR,35.8488,128.1492,58.55,29,19,10.63,few clouds
590,Samarai,PG,-10.6167,150.6667,84.65,70,36,19.28,scattered clouds
591,Qax,AZ,41.4225,46.9242,47.39,82,100,4.59,overcast clouds
592,Nhulunbuy,AU,-12.2333,136.7667,92.01,46,20,10.36,few clouds
593,Chibuto,MZ,-24.6867,33.5306,71.24,86,0,5.44,clear sky
594,Yar-Sale,RU,66.8333,70.8333,9.68,86,99,19.19,overcast clouds
595,Vetlanda,SE,57.4289,15.0776,38.03,98,100,5.57,light rain
596,Tromso,NO,69.6496,18.957,32.02,64,75,10.36,broken clouds
597,Misratah,LY,32.3754,15.0925,60.75,87,10,21.94,clear sky
598,Olenino,RU,56.2092,33.4889,32.11,98,100,11.41,snow
599,Derzhavinsk,KZ,51.1,66.3167,30.31,80,100,8.75,overcast clouds
600,Lukovetskiy,RU,64.2956,41.9211,22.08,93,88,3.56,overcast clouds
601,Merrill,US,45.1805,-89.6835,36.9,97,100,11.5,overcast clouds
602,Crepy-En-Valois,FR,49.2336,2.8881,51.31,90,100,20.04,overcast clouds
603,Klaksvik,FO,62.2266,-6.589,36.52,71,100,43.13,overcast clouds
604,Kholm,RU,59.2667,32.85,28.56,83,100,7.67,overcast clouds
605,Chyhyryn,UA,49.0838,32.6555,47.07,72,98,15.66,overcast clouds
606,Kvarkeno,RU,52.0833,59.725,36.32,86,100,14.41,overcast clouds
607,Jiangyou,CN,31.7667,104.7167,69.85,54,0,6.29,clear sky
608,Ocampo,MX,21.65,-101.5,61.59,21,100,0.65,overcast clouds
609,Vrises,GR,35.492,23.8899,66.18,59,77,3.0,broken clouds
610,Flin Flon,CA,54.7682,-101.865,29.34,91,100,7.7,overcast clouds
611,Burns Lake,CA,54.2331,-125.7533,31.42,94,100,1.57,overcast clouds
612,Nabire,ID,-3.3667,135.4833,84.92,65,100,2.77,overcast clouds
613,Nanpara,IN,27.8667,81.5,92.23,19,0,12.59,clear sky
614,Tomari,RU,47.7658,142.0683,35.92,51,6,19.51,clear sky
615,Lisakovsk,KZ,52.5369,62.4936,35.82,71,100,13.53,overcast clouds
616,Morondava,MG,-20.2833,44.2833,76.26,64,2,4.47,clear sky
617,Barra Patuca,HN,15.8,-84.2833,80.04,78,100,14.94,overcast clouds
618,Sao Filipe,CV,14.8961,-24.4956,70.79,78,5,11.79,clear sky
619,Santa Lucia,ES,27.9117,-15.5407,54.72,51,75,16.11,broken clouds
620,Aloleng,PH,16.1307,119.7824,85.86,60,100,8.77,overcast clouds
621,Taltal,CL,-25.4,-70.4833,71.29,53,0,3.69,clear sky
622,Kamaishi,JP,39.2667,141.8833,44.11,63,65,6.85,broken clouds
623,Oeiras,BR,-7.0253,-42.1311,75.29,71,100,2.24,overcast clouds
624,Ixtapa,MX,20.7,-105.2,72.23,86,100,2.33,overcast clouds
625,Bajil,YE,15.0584,43.2851,79.93,61,0,2.51,clear sky
626,Den Helder,NL,52.9599,4.7593,48.97,89,75,30.0,broken clouds
627,Rock Sound,BS,24.9,-76.2,78.08,78,2,12.01,clear sky
628,Kharan,PK,28.5833,65.4167,82.38,21,0,3.62,clear sky
629,Kamenka,RU,51.3223,42.7678,38.77,90,73,2.21,broken clouds
630,Tilichiki,RU,60.4667,166.1,16.38,65,0,4.76,clear sky
631,Razole,IN,16.4833,81.8333,92.37,42,55,4.79,broken clouds
632,Villazon,BO,-22.0866,-65.5942,48.27,84,14,0.74,few clouds
633,Podgorica,ME,42.4411,19.2636,53.38,71,100,2.3,overcast clouds
634,Churapcha,RU,62.0025,132.4325,24.75,77,99,4.56,overcast clouds
635,Loa Janan,ID,-0.583,117.095,85.84,66,100,5.1,overcast clouds
636,San Ramon,US,37.7799,-121.978,71.82,43,0,4.0,clear sky
637,Oranjemund,NA,-28.55,16.4333,57.27,85,95,18.97,overcast clouds
638,Tamale,GH,9.4008,-0.8393,82.49,65,98,7.54,overcast clouds
639,Eagle Pass,US,28.7091,-100.4995,71.28,16,0,10.89,clear sky
640,Sioux Lookout,CA,50.1001,-91.917,30.27,93,100,10.36,mist
641,Jiayuguan,CN,39.8167,98.3,67.89,6,0,5.28,clear sky
642,Puri,IN,19.8,85.85,82.92,69,50,12.28,scattered clouds
643,San Andres,CO,12.5847,-81.7006,80.62,89,75,11.5,broken clouds
644,Masty,BY,53.4122,24.5387,42.17,92,100,11.39,overcast clouds
645,Rawson,AR,-43.3002,-65.1023,56.19,77,94,15.61,overcast clouds
646,Giyani,ZA,-23.3025,30.7187,71.8,58,0,1.57,clear sky
647,Chernyshevskiy,RU,63.0128,112.4714,24.19,89,100,12.88,light snow
648,Yerbogachen,RU,61.2767,108.0108,33.37,100,100,8.12,overcast clouds
649,Polovinnoye,RU,54.7914,65.9864,36.88,74,88,14.34,overcast clouds
650,Inirida,CO,3.8653,-67.9239,74.01,97,85,1.01,heavy intensity rain
651,Mitsamiouli,KM,-11.3847,43.2844,79.09,73,20,4.61,few clouds
652,Fort-Shevchenko,KZ,44.5086,50.263,48.88,72,5,13.35,clear sky
653,Chipinge,ZW,-20.1883,32.6236,63.14,82,99,3.33,overcast clouds
654,Dukat,RU,62.55,155.55,15.35,80,80,3.65,broken clouds
655,Fairview,US,40.8126,-73.999,49.95,89,100,9.22,overcast clouds
656,Jawa,JO,31.8525,35.9393,52.11,82,1,5.75,haze
657,Saint-Felicien,CA,48.6501,-72.4491,27.1,63,75,0.0,broken clouds
658,Emirdag,TR,39.0197,31.15,49.23,65,49,5.86,scattered clouds
659,Synya,RU,65.3718,58.0387,14.97,81,100,8.99,overcast clouds
660,San Jeronimo,PE,-11.9472,-75.2829,45.43,85,20,3.22,few clouds
661,Iranshahr,IR,27.2025,60.6848,73.74,21,0,6.91,clear sky
662,Pinotepa Nacional,MX,16.3167,-98.0167,72.23,81,11,2.35,few clouds
663,Chitrakonda,IN,18.1167,82.0833,93.63,29,95,3.24,overcast clouds
664,Araguacu,BR,-12.9306,-49.8264,74.35,67,3,0.83,clear sky
665,Ponnani,IN,10.767,75.9252,81.72,70,26,1.61,scattered clouds
