,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Taoudenni,ML,22.6783,-3.9836,77.27,13,0,12.15,clear sky
80,Basco,PH,20.4487,121.9702,75.61,81,92,23.06,overcast clouds
81,Pisco,PE,-13.7,-76.2167,66.25,88,0,14.97,clear sky
82,Arraial Do Cabo,BR,-22.9661,-42.0278,74.95,84,13,8.43,few clouds
83,Upata,VE,8.0086,-62.3989,71.35,79,5,6.17,clear sky
84,Nibbar,TN,36.2941,8.7666,54.28,58,40,13.8,scattered clouds
85,Albany,US,42.6001,-73.9662,50.04,73,100,3.0,overcast clouds
86,Castro,BR,-24.7911,-50.0119,61.65,98,78,4.05,broken clouds
87,Garissa,KE,-0.4536,39.6401,78.49,78,78,10.4,broken clouds
88,Bethel,US,41.3712,-73.414,48.29,91,100,4.61,mist
89,New Norfolk,AU,-42.7826,147.0587,70.66,41,0,1.99,clear sky
90,Port Alfred,ZA,-33.5906,26.891,56.17,73,52,5.99,broken clouds
91,Saskylakh,RU,71.9167,114.0833,-0.62,90,23,7.29,few clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,67.87,82,0,4.61,clear sky
93,Darnah,LY,32.767,22.6367,78.53,25,96,20.6,overcast clouds
94,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,71.26,70,14,4.41,few clouds
95,Olafsvik,IS,64.8945,-23.7142,26.42,60,14,11.36,few clouds
96,Gamba,GA,-2.65,10.0,76.51,94,100,5.64,overcast clouds
97,San Patricio,US,28.017,-97.5169,75.29,36,0,19.15,clear sky
98,Chokurdakh,RU,70.6333,147.9167,1.2,82,1,5.5,clear sky
99,Gushikawa,JP,26.3544,127.8686,72.99,55,20,8.05,few clouds
100,Mana,GF,5.6592,-53.7767,76.41,88,77,9.62,broken clouds
101,Colares,PT,38.7992,-9.4469,57.76,62,96,13.0,overcast clouds
102,Altay,CN,47.8667,88.1167,55.94,48,90,3.09,overcast clouds
103,Jiexiu,CN,37.0244,111.9125,70.52,15,0,3.89,clear sky
104,Ilulissat,GL,69.2167,-51.1,21.22,86,75,10.36,broken clouds
105,Mataura,NZ,-46.1927,168.8643,55.6,50,41,6.85,scattered clouds
106,Kemijarvi,FI,66.7131,27.4306,15.48,96,70,4.21,broken clouds
107,Ponta Delgada,PT,37.7333,-25.6667,61.52,82,75,23.02,broken clouds
108,Faanui,PF,-16.4833,-151.75,82.56,76,39,21.25,light rain
109,Ribeira Grande,PT,38.5167,-28.7,61.75,90,100,28.48,overcast clouds
110,Ayr,GB,55.4627,-4.6339,40.32,93,40,3.44,scattered clouds
111,Birao,CF,10.2849,22.7882,77.76,54,36,4.18,scattered clouds
112,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.95,86,100,6.35,overcast clouds
113,Bilma,NE,18.6853,12.9164,81.41,9,10,8.84,clear sky
114,Fortuna,US,40.5982,-124.1573,51.66,78,28,4.45,scattered clouds
115,Komsomolskiy,UZ,40.4272,71.7189,66.92,39,86,4.61,overcast clouds
116,Codrington,AU,-38.2667,141.9667,68.27,62,35,21.25,scattered clouds
117,Abha,SA,18.2164,42.5053,55.22,12,0,0.0,clear sky
118,Superior,US,46.7208,-92.1041,38.77,94,100,10.36,moderate rain
119,Hilo,US,19.7297,-155.09,69.53,93,100,10.36,moderate rain
120,Soyo,AO,-6.1349,12.3689,77.38,87,100,8.88,overcast clouds
121,Jizan,SA,17.3333,42.6667,74.34,39,0,2.8,clear sky
122,Hobart,AU,-42.8794,147.3294,71.02,51,20,10.36,few clouds
123,Namibe,AO,-15.1961,12.1522,70.65,79,1,6.06,clear sky
124,Grindavik,IS,63.8424,-22.4338,27.07,74,40,14.97,scattered clouds
125,Padang,ID,-0.9492,100.3543,80.65,73,100,1.79,overcast clouds
126,Okha,RU,53.5739,142.9478,31.93,62,77,11.83,light snow
127,Port Augusta,AU,-32.5,137.7667,76.26,35,0,13.49,clear sky
128,Umea,SE,63.8284,20.2597,21.9,100,100,2.3,overcast clouds
129,Ardabil,IR,38.2498,48.2933,36.95,100,100,11.5,fog
130,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,78,20,8.05,few clouds
131,Katsuura,JP,35.1333,140.3,58.78,76,100,10.33,overcast clouds
132,Tiksi,RU,71.6872,128.8694,-3.08,96,100,8.08,overcast clouds
133,Lilongwe,MW,-13.9669,33.7873,65.3,95,86,1.52,overcast clouds
134,Taitung,TW,22.7583,121.1444,75.47,73,75,5.75,broken clouds
135,Flinders,AU,-34.5833,150.8552,67.37,89,100,5.99,light rain
136,Phan Thiet,VN,10.9333,108.1,86.79,57,95,2.55,overcast clouds
137,Mahebourg,MU,-20.4081,57.7,77.29,78,40,8.05,scattered clouds
138,Kaupanger,NO,61.1845,7.2404,12.47,87,100,2.8,overcast clouds
139,Pangnirtung,CA,66.1451,-65.7125,-0.09,82,11,5.14,few clouds
140,Porto Novo,BJ,6.4965,2.6036,76.82,86,4,4.54,clear sky
141,Tucuman,AR,-26.8241,-65.2226,71.6,83,100,3.44,overcast clouds
142,Victoria,HK,22.2855,114.1577,81.97,63,35,8.99,scattered clouds
143,Kaitangata,NZ,-46.2817,169.8464,56.32,47,55,5.84,broken clouds
144,Gazli,UZ,40.1333,63.45,71.78,33,72,11.41,broken clouds
145,Vestmannaeyjar,IS,63.4427,-20.2734,29.25,59,2,7.83,clear sky
146,Ugoofaaru,MV,5.6667,73.0,83.55,67,12,3.6,few clouds
147,Sitka,US,57.0531,-135.33,42.69,61,75,18.41,broken clouds
148,Maumere,ID,-8.6199,122.2111,86.67,60,61,2.17,broken clouds
149,Molln,DE,53.6333,10.6833,49.93,83,100,6.91,overcast clouds
150,Vallenar,CL,-28.5708,-70.7581,70.39,20,0,3.0,clear sky
151,Diffa,NE,13.3154,12.6113,82.83,11,26,8.01,scattered clouds
152,Garden City,US,42.3256,-83.331,45.88,93,40,6.91,scattered clouds
153,Cacapava Do Sul,BR,-30.5122,-53.4914,54.41,86,18,3.02,few clouds
154,Hithadhoo,MV,-0.6,73.0833,82.29,66,1,0.87,clear sky
155,Naryan-Mar,RU,67.6713,53.087,8.38,93,69,8.25,broken clouds
156,Chuy,UY,-33.6971,-53.4616,58.71,88,0,6.44,light rain
157,Manbij,SY,36.5281,37.9549,57.4,66,0,17.09,clear sky
